city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,source,provider,segment_name,weather_cell_id,roadClosure,date,dedup_records_collapsed,dedup_duplicate_key_rows
hanoi,HN_001,2026-05-14 17:25:00,2026-05-14 17:26:05.987526,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:30:00,2026-05-14 17:31:11.194551,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:35:00,2026-05-14 17:36:16.540736,19.0,37.0,4.86,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:40:00,2026-05-14 17:41:21.780560,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:45:00,2026-05-14 17:46:27.039547,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:50:00,2026-05-14 17:51:32.400532,17.0,37.0,5.41,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:55:00,2026-05-14 17:56:37.630623,17.0,36.0,5.28,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:00:00,2026-05-14 18:01:42.717074,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:05:00,2026-05-14 18:06:48.301551,18.0,37.0,5.14,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:10:00,2026-05-14 18:11:53.439543,21.0,37.0,4.32,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:15:00,2026-05-14 18:16:58.766623,19.0,37.0,4.86,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:20:00,2026-05-14 18:22:03.913529,21.0,37.0,4.32,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:25:00,2026-05-14 18:27:09.070635,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:30:00,2026-05-14 18:32:14.450642,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:35:00,2026-05-14 18:37:19.561549,23.0,37.0,3.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:40:00,2026-05-14 18:42:25.464545,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:45:00,2026-05-14 18:47:30.946563,21.0,37.0,4.32,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:50:00,2026-05-14 18:52:36.170320,20.0,36.0,4.44,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 18:55:00,2026-05-14 18:57:41.263543,20.0,37.0,4.59,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:00:00,2026-05-14 19:02:46.502829,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:05:00,2026-05-14 19:07:51.742539,21.0,36.0,4.17,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:10:00,2026-05-14 19:12:56.584246,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:15:00,2026-05-14 19:18:01.605757,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:20:00,2026-05-14 19:23:06.825245,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:25:00,2026-05-14 19:28:11.964521,23.0,37.0,3.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:30:00,2026-05-14 19:33:17.219613,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:35:00,2026-05-14 19:38:22.360981,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:40:00,2026-05-14 19:43:27.451145,24.0,36.0,3.33,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:45:00,2026-05-14 19:48:32.619521,22.0,36.0,3.89,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:50:00,2026-05-14 19:53:36.998555,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 19:55:00,2026-05-14 19:58:41.412651,22.0,36.0,3.89,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:00:00,2026-05-14 20:03:45.687529,22.0,36.0,3.89,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:05:00,2026-05-14 20:08:49.681567,23.0,36.0,3.61,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:10:00,2026-05-14 20:13:54.469898,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:15:00,2026-05-14 20:18:59.085536,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:20:00,2026-05-14 20:24:04.129520,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:25:00,2026-05-14 20:29:09.159559,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:30:00,2026-05-14 20:34:14.033203,24.0,36.0,3.33,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:35:00,2026-05-14 20:39:19.134530,28.0,38.0,2.63,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:40:00,2026-05-14 20:44:24.209547,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:45:00,2026-05-14 20:49:28.872477,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:50:00,2026-05-14 20:54:35.114214,29.0,36.0,1.94,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 20:55:00,2026-05-14 20:59:40.093649,27.0,36.0,2.5,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:00:00,2026-05-14 21:04:44.666547,27.0,36.0,2.5,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
