city,segment_id,time_bucket,news_event_count_1h,news_event_count_3h,news_event_count_6h,accident_count_1h,congestion_news_count_1h,roadwork_count_24h,weather_disruption_count_6h,flood_count_6h,max_event_severity_1h,max_event_severity_6h,avg_traffic_relevance_score_6h,has_recent_accident,has_recent_roadwork,has_recent_flood,has_major_event,has_weather_disruption
hanoi,HN_003,2026-05-15 08:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:15:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:30:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:35:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:45:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 08:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 09:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 09:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 09:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 09:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 10:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 10:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 10:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 11:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 12:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 12:15:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 12:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 14:45:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 14:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 15:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 15:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 15:35:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 15:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:30:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:35:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:45:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 16:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:15:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:30:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:35:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:45:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 17:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:15:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:30:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:35:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:45:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:50:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 18:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:05:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:15:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:20:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:40:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 19:55:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 20:10:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_003,2026-05-15 20:25:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
