horizon,model,slice_column,slice_value,MAE,RMSE,R2,MAPE,n
15m,lightgbm,segment_id,HCMC_004,1.3593787121323013,1.7266374640086182,0.5725812690392025,4.703007930356076,432
15m,lightgbm,segment_id,HCMC_005,1.4477552390935617,1.8448611782913473,0.5245328083295552,4.411668363334166,432
15m,lightgbm,segment_id,HCMC_LIVE_001,0.9354468539743037,1.1927729010741437,0.5594885870208463,4.057925531170793,432
15m,lightgbm,segment_id,HCMC_LIVE_002,1.0111637075382367,1.3240180223337403,0.620050664174873,3.7001021134723104,432
15m,lightgbm,segment_id,HCMC_LIVE_003,1.762768804909651,2.2956139291671804,0.5973367327950891,4.064532102853761,432
15m,lightgbm,segment_id,HCMC_LIVE_004,1.389435003901846,1.8271621344089468,0.5837453265085658,3.763382212844596,432
15m,lightgbm,segment_id,HCMC_LIVE_005,1.8831436756122986,2.425588726648855,0.5510750994483808,4.422704019327612,432
15m,lightgbm,segment_id,HN_001,1.2014604498731731,1.6758763907464893,0.6809808508831812,4.113002712347721,432
15m,lightgbm,segment_id,HN_002,1.1930229812100022,1.5205348073293472,0.7208268574092798,4.107713130540378,432
15m,lightgbm,segment_id,HN_003,1.3573058323846807,1.7757380822231228,0.6968522097583377,4.834715096758833,432
15m,lightgbm,segment_id,HN_004,1.077618029838246,1.3861351330061222,0.7259005586423255,4.277462705408254,432
15m,lightgbm,segment_id,HN_005,1.1556564122873536,1.4931984904853344,0.7042942721223733,4.3288237351745185,432
15m,lightgbm,segment_id,HN_LIVE_001,0.7552605671163919,1.092994442547399,0.6480456539267437,3.724655515868352,432
15m,lightgbm,segment_id,HN_LIVE_002,1.1821399352245652,1.5185048771041874,0.7308414178931506,3.627823442867726,432
15m,lightgbm,segment_id,HN_LIVE_003,0.6363933692977349,0.8311926535851736,0.6926074908844198,3.7639271257929883,432
15m,lightgbm,segment_id,HN_LIVE_004,1.1605564780493596,1.4947245429045721,0.7068328914019428,3.814426856321524,432
15m,lightgbm,segment_id,HN_LIVE_005,1.0065580249978612,1.4021978029691287,0.6985687179654136,3.320780571276532,432
60m,lightgbm,city,hanoi,1.1274631007634495,1.5323015672717397,0.921471807815871,4.193383391740304,4320
60m,lightgbm,city,hcmc,1.4160206767288386,1.8947600588979823,0.9431920532773534,4.280837170831577,4320
60m,lightgbm,road_class,cbd_local_arterial,0.8691660978934342,1.2009071134304703,0.70657884103146,4.027251517736044,864
